title,url,playlist_title,channel_title,embed_code
Xác định yêu cầu và Phân rã chức năng hệ thống,https://www.youtube.com/watch?v=VVzGhjNGkSU,Phân tích thiết kế hệ thống thông tin,Chinh phục mục tiêu với Trung,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/VVzGhjNGkSU"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
Xây dựng biểu đồ usecase,https://www.youtube.com/watch?v=e_--9hQLolA,Phân tích thiết kế hệ thống thông tin,Chinh phục mục tiêu với Trung,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/e_--9hQLolA"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
"Xây dựng kịch bản, biểu đồ hoạt động",https://www.youtube.com/watch?v=yilTIB-sbGU,Phân tích thiết kế hệ thống thông tin,Chinh phục mục tiêu với Trung,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/yilTIB-sbGU"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
Xây dựng biểu đồ lớp phân tích,https://www.youtube.com/watch?v=VSviFzFzVac,Phân tích thiết kế hệ thống thông tin,Chinh phục mục tiêu với Trung,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/VSviFzFzVac"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
Xây dựng biểu đồ tuần tự và biểu đồ cộng tác,https://www.youtube.com/watch?v=t9nRMaPi9QA,Phân tích thiết kế hệ thống thông tin,Chinh phục mục tiêu với Trung,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/t9nRMaPi9QA"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
"Thiết kế lớp, CSDL, giao diện",https://www.youtube.com/watch?v=VRHoXGCjQ9A,Phân tích thiết kế hệ thống thông tin,Chinh phục mục tiêu với Trung,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/VRHoXGCjQ9A"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
Lập trình PHP cơ bản,https://www.youtube.com/watch?v=sCr-FIb1f9U,Công nghệ Web,Chinh phục mục tiêu với Trung,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/sCr-FIb1f9U"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
Lập trình PHP với cơ sở dữ liệu,https://www.youtube.com/watch?v=m3Xk5BsNKp4,Công nghệ Web,Chinh phục mục tiêu với Trung,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/m3Xk5BsNKp4"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
Lập trình PHP Form,https://www.youtube.com/watch?v=yiqNYxpa6rU,Công nghệ Web,Chinh phục mục tiêu với Trung,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/yiqNYxpa6rU"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
"Phương thức GET, POST",https://www.youtube.com/watch?v=1fjCLLQtlss,Công nghệ Web,Chinh phục mục tiêu với Trung,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/1fjCLLQtlss"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
